motif_id	gene_id	TF_description	motif_family	ath_gene_id	ath_alias
M00720	Solyc03g118190.4	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3CZ32_CAPCH)	AP2	AT5G61890	AT5G61890
M00720	Solyc04g012050.3	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2XAK1_CAPBA)	AP2	AT5G64750	ABR1
M00720	Solyc04g014530.1	Ethylene Response Factor C.2	AP2	AT3G23240	ATERF1
M00720	Solyc05g050790.3	Ethylene-responsive transcription factor 1 (AHRD V3.3 *** A0A2G2WT19_CAPBA)	AP2	AT2G44840	ATERF13
M00720	Solyc05g052030.1	ethylene response factor 4	AP2	AT5G07580	AT5G07580
M00720	Solyc05g052040.1	ripening regulated protein DDTFR10/A	AP2	AT5G51190	AT5G51190
M00720	Solyc05g052050.1	DNA-binding protein Pti4	AP2	AT4G17500	ATERF-1
M00720	Solyc06g051840.1	Solanum lycopersicum Cytokinin Response Factor 6	AP2	AT4G27950	CRF4
M00720	Solyc06g068830.2	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8HB76_CAPAN)	AP2	AT5G61890	AT5G61890
M00720	Solyc06g082590.1	DNA-binding protein Pti6	AP2	AT4G27950	CRF4
M00720	Solyc07g049490.3	Ethylene Response Factor F.3	AP2	AT3G20310	ATERF-7
M00720	Solyc08g007230.3	Ethylene-responsive transcription factor 2 (AHRD V3.3 *** A0A2G3DC56_CAPCH)	AP2	AT4G17500	ATERF-1
M00720	Solyc08g078170.1	Ethylene-responsive transcription factor 2 (AHRD V3.3 *** A0A2G3DC56_CAPCH)	AP2	AT4G17500	ATERF-1
M00720	Solyc08g078180.1	Ethylene Response Factor A.1	AP2	AT4G17500	ATERF-1
M00720	Solyc08g078190.2	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** A0A2G2XL45_CAPBA)	AP2	AT5G47230	ATERF-5
M00720	Solyc08g081960.3	Solanum Lycopersicum Cytokinin Response Factor 2	AP2	AT4G23750	CRF2
M00720	Solyc09g066340.1	Ethylene-responsive transcription factor (AHRD V3.3 *-* A0A2G2X5X7_CAPBA)	AP2	AT1G04370	ATERF14
M00720	Solyc09g066360.1	Ethylene Response Factor C.3	AP2	AT3G23240	ATERF1
M00720	Solyc09g089910.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8GJ51_CAPAN)	AP2	AT5G43410	AT5G43410
M00720	Solyc09g089930.3	ethylene responsive factor E.2	AP2	AT3G23240	ATERF1
M00720	Solyc10g050970.1	Ethylene Response Factor D.4	AP2	AT4G34410	RRTF1
M00720	Solyc11g011750.1	Ethylene-responsive transcription factor 1B (AHRD V3.3 *** A0A2G2Y507_CAPAN)	AP2	AT3G23240	ATERF1
M00720	Solyc12g042210.2	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3B398_CAPCH)	AP2	AT5G61890	AT5G61890
M00721	Solyc03g123500.4	GCC box binding protein C.4	AP2	AT3G14230	RAP2.2
M00721	Solyc10g009110.1	ethylene response factor F.5	AP2	AT3G15210	ATERF-4
M00721	Solyc09g075420.3	ethylene response factor E.1	AP2	AT2G47520	AtERF71
M00721	Solyc01g090300.2	Ethylene-responsive transcription factor 2 (AHRD V3.3 *** A0A2G3DF02_CAPCH)	AP2	AT2G44840	ATERF13
M00721	Solyc01g090310.3	Ethylene-responsive transcription factor 13 (AHRD V3.3 *** A0A2G2XMR4_CAPBA)	AP2	AT2G44840	ATERF13
M00721	Solyc01g090370.3	Ethylene-responsive transcription factor 13 (AHRD V3.3 *** A0A2G2XN61_CAPBA)	AP2	AT2G44840	ATERF13
M00721	Solyc01g108240.3	Ethylene Response Factor D.3	AP2	AT4G34410	RRTF1
M00721	Solyc02g077360.1	Ethylene Response Factor B.2	AP2	AT4G18450	AT4G18450
M00721	Solyc02g077370.1	Ethylene Response Factor  C.5	AP2	AT3G23240	ATERF1
M00721	Solyc03g005500.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8GJ51_CAPAN)	AP2	AT1G04370	ATERF14
M00721	Solyc03g006320.1	Ethylene-responsive transcription factor 4 (AHRD V3.3 *-* A0A2G2VSG2_CAPBA)	AP2	AT3G15210	ATERF-4
M00721	Solyc03g007460.3	Solanum lycopersicum Cytokinin Response Factor 4	AP2	AT4G27950	CRF4
M00721	Solyc03g093540.1	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** ERF5_TOBAC)	AP2	AT5G51190	AT5G51190
M00721	Solyc03g093550.1	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** A0A2G3CVP7_CAPCH)	AP2	AT5G51190	AT5G51190
M00721	Solyc03g093560.1	ethylene response factor C.6	AP2	AT5G51190	AT5G51190
M00721	Solyc03g093610.1	ethylene response factor A.2	AP2	AT4G17500	ATERF-1
M00721	Solyc04g012050.3	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2XAK1_CAPBA)	AP2	AT5G64750	ABR1
M00721	Solyc04g071770.3	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8GDL3_CAPAN)	AP2	AT5G50080	ERF110
M00721	Solyc05g050790.3	Ethylene-responsive transcription factor 1 (AHRD V3.3 *** A0A2G2WT19_CAPBA)	AP2	AT2G44840	ATERF13
M00721	Solyc05g052030.1	ethylene response factor 4	AP2	AT5G07580	AT5G07580
M00721	Solyc05g052040.1	ripening regulated protein DDTFR10/A	AP2	AT5G51190	AT5G51190
M00721	Solyc05g052050.1	DNA-binding protein Pti4	AP2	AT4G17500	ATERF-1
M00721	Solyc06g051840.1	Solanum lycopersicum Cytokinin Response Factor 6	AP2	AT4G27950	CRF4
M00721	Solyc06g063070.3	Ethylene Response Factor  A.3	AP2	AT1G53910	RAP2.12
M00721	Solyc06g068830.2	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8HB76_CAPAN)	AP2	AT5G61890	AT5G61890
M00721	Solyc06g082590.1	DNA-binding protein Pti6	AP2	AT4G27950	CRF4
M00721	Solyc07g053740.1	Ethylene Response Factor F.4	AP2	AT3G15210	ATERF-4
M00721	Solyc08g007230.3	Ethylene-responsive transcription factor 2 (AHRD V3.3 *** A0A2G3DC56_CAPCH)	AP2	AT4G17500	ATERF-1
M00721	Solyc08g078170.1	Ethylene-responsive transcription factor 2 (AHRD V3.3 *** A0A2G3DC56_CAPCH)	AP2	AT4G17500	ATERF-1
M00721	Solyc08g078180.1	Ethylene Response Factor A.1	AP2	AT4G17500	ATERF-1
M00721	Solyc08g078190.2	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** A0A2G2XL45_CAPBA)	AP2	AT5G47230	ATERF-5
M00721	Solyc08g081960.3	Solanum Lycopersicum Cytokinin Response Factor 2	AP2	AT4G23750	CRF2
M00721	Solyc09g066360.1	Ethylene Response Factor C.3	AP2	AT3G23240	ATERF1
M00721	Solyc09g089910.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8GJ51_CAPAN)	AP2	AT5G43410	AT5G43410
M00721	Solyc09g089920.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2W1A3_CAPBA)	AP2	AT3G23230	AtERF98
M00721	Solyc11g006050.1	Ethylene-responsive transcription factor (AHRD V3.3 *** F1DGA5_COFAR)	AP2	AT3G23240	ATERF1
M00721	Solyc11g011750.1	Ethylene-responsive transcription factor 1B (AHRD V3.3 *** A0A2G2Y507_CAPAN)	AP2	AT3G23240	ATERF1
M00721	Solyc12g042210.2	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3B398_CAPCH)	AP2	AT5G61890	AT5G61890
M00721	Solyc12g056590.2	Ethylene Response Factor D.2	AP2	AT5G50080	ERF110
M00722	Solyc01g090790.4	bHLH transcription factor	bHLH	AT4G00050	UNE10
M00722	Solyc01g102300.3	bHLH transcription factor 006	bHLH	AT1G09530	PAP3
M00722	Solyc02g093280.2	bHLH transcription factor 017	bHLH	AT4G36930	SPT
M00722	Solyc03g115540.2	bHLH transcription factor 024	bHLH	AT4G00050	UNE10
M00722	Solyc04g078690.3	bHLH transcription factor 035	bHLH	AT4G36930	SPT
M00722	Solyc06g008030.3	bHLH transcription factor 041	bHLH	AT2G20180	PIF1
M00722	Solyc06g069600.3	bHLH transcription factor 047	bHLH	AT4G00050	UNE10
M00722	Solyc07g005400.3	bHLH transcription factor 050	bHLH	AT2G24260	LRL1
M00722	Solyc07g043580.4	bHLH transcription factor 052	bHLH	AT3G59060	PIF5
M00722	Solyc09g063010.4	bHLH transcription factor 058	bHLH	AT2G20180	PIF1
M00722	Solyc12g010170.2	bHLH transcription factor 070	bHLH	AT2G24260	LRL1
M00723	Solyc01g006650.2	ETHYLENE INSENSITIVE 3-like 3 protein (AHRD V3.3 *** A0A2G3DES0_CAPCH)	EIN3	AT1G73730	AtEIL3
M00723	Solyc01g014480.3	ETHYLENE INSENSITIVE 3-like 3 protein (AHRD V3.3 *** A0A2G3AJ97_CAPAN)	EIN3	AT1G73730	AtEIL3
M00724	Solyc01g009170.4	EIL-EIN3/EIL	EIN3	AT3G20770	AtEIN3
M00724	Solyc01g014480.3	ETHYLENE INSENSITIVE 3-like 3 protein (AHRD V3.3 *** A0A2G3AJ97_CAPAN)	EIN3	AT1G73730	AtEIL3
M00724	Solyc01g096810.3	EIL3	EIN3	AT3G20770	AtEIN3
M00724	Solyc06g073720.3	EIL1	EIN3	AT3G20770	AtEIN3
M00724	Solyc06g073730.2	LeEIL4EIN3-like	EIN3	AT3G20770	AtEIN3
M00725	Solyc01g009170.4	EIL-EIN3/EIL	EIN3	AT3G20770	AtEIN3
M00725	Solyc01g014480.3	ETHYLENE INSENSITIVE 3-like 3 protein (AHRD V3.3 *** A0A2G3AJ97_CAPAN)	EIN3	AT1G73730	AtEIL3
M00725	Solyc01g096810.3	EIL3	EIN3	AT3G20770	AtEIN3
M00725	Solyc06g073720.3	EIL1	EIN3	AT3G20770	AtEIN3
M00725	Solyc06g073730.2	LeEIL4EIN3-like	EIN3	AT3G20770	AtEIN3
M00726	Solyc01g006650.2	ETHYLENE INSENSITIVE 3-like 3 protein (AHRD V3.3 *** A0A2G3DES0_CAPCH)	EIN3	AT1G73730	AtEIL3
M00726	Solyc01g009170.4	EIL-EIN3/EIL	EIN3	AT3G20770	AtEIN3
M00726	Solyc01g014480.3	ETHYLENE INSENSITIVE 3-like 3 protein (AHRD V3.3 *** A0A2G3AJ97_CAPAN)	EIN3	AT1G73730	AtEIL3
M00726	Solyc01g096810.3	EIL3	EIN3	AT3G20770	AtEIN3
M00726	Solyc06g073720.3	EIL1	EIN3	AT3G20770	AtEIN3
M00726	Solyc06g073730.2	LeEIL4EIN3-like	EIN3	AT3G20770	AtEIN3
M00727	Solyc01g090760.4	GATA transcription factor (AHRD V3.3 *** K4AZ17_SOLLC)	GATA	AT3G60530	GATA4
M00727	Solyc01g110310.3	GATA transcription factor (AHRD V3.3 *** K4B3P4_SOLLC)	GATA	AT5G66320	GATA5
M00727	Solyc02g084590.4	GATA transcription factor (AHRD V3.3 *** K4BAX4_SOLLC)	GATA	AT5G66320	GATA5
M00727	Solyc03g033660.4	GATA transcription factor (AHRD V3.3 *** K4BFN8_SOLLC)	GATA	AT5G66320	GATA5
M00727	Solyc03g120890.3	GATA transcription factor (AHRD V3.3 *** K4BMN8_SOLLC)	GATA	AT5G25830	GATA12
M00727	Solyc05g053500.4	GATA transcription factor (AHRD V3.3 *** G7K6G0_MEDTR)	GATA	AT3G24050	GATA1
M00727	Solyc05g056120.3	GATA transcription factor (AHRD V3.3 *** K4C2T6_SOLLC)	GATA	AT3G54810	BME3
M00727	Solyc06g075140.3	GATA transcription factor 8 (AHRD V3.3 *** A0A2G2WNP8_CAPBA)	GATA	AT1G08010	GATA11
M00727	Solyc08g066510.3	GATA transcription factor (AHRD V3.3 *** K4CLM7_SOLLC)	GATA	AT5G25830	GATA12
M00727	Solyc09g091250.4	GATA transcription factor (AHRD V3.3 *** A0A1S3CCM6_CUCME)	GATA	AT3G24050	GATA1
M00727	Solyc10g018560.2	GATA transcription factor (AHRD V3.3 *** K4CYY0_SOLLC)	GATA	AT3G60530	GATA4
M00727	Solyc11g069510.3	GATA transcription factor 8 (AHRD V3.3 *** A0A2G3BBK7_CAPCH)	GATA	AT1G08010	GATA11
M00728	Solyc01g073910.4	Homeobox-leucine zipper protein HOX27 (AHRD V3.3 *** A0A2G2XRN9_CAPBA)	Homeodomain	AT3G60390	HAT3
M00728	Solyc01g090460.3	HD-ZIP	Homeodomain	AT3G60390	HAT3
M00728	Solyc02g063520.3	Homeobox-leucine zipper protein HAT22 (AHRD V3.3 *** A0A2G2XBJ3_CAPBA)	Homeodomain	AT4G37790	HAT22
M00728	Solyc02g091930.3	Homeobox-leucine zipper protein HOX27 (AHRD V3.3 *** A0A2G3D8F8_CAPCH)	Homeodomain	AT4G37790	HAT22
M00728	Solyc04g077220.3	Homeobox-leucine zipper protein HAT22 (AHRD V3.3 *** A0A2G3CPE7_CAPCH)	Homeodomain	AT4G37790	HAT22
M00728	Solyc05g008050.3	Homeobox-leucine zipper protein HOX3 (AHRD V3.3 *** A0A2G3B5W9_CAPCH)	Homeodomain	AT2G01430	ATHB-17
M00728	Solyc06g060830.3	Homeobox-leucine zipper protein HAT2 (AHRD V3.3 *** A0A2G2WJU4_CAPBA)	Homeodomain	AT4G16780	ATHB-2
M00728	Solyc07g054380.2	Homeobox-leucine zipper protein HAT14 (AHRD V3.3 *** A0A2G2WE10_CAPBA)	Homeodomain	AT4G37790	HAT22
M00728	Solyc08g007270.4	homeobox-leucine zipper protein HAT4-like (AHRD V3.3 *** A0A2I4G6W7_9ROSI)	Homeodomain	AT4G16780	ATHB-2
M00728	Solyc08g078300.4	Homeobox-leucine zipper protein HAT4 (AHRD V3.3 *** A0A2G2XL32_CAPBA)	Homeodomain	AT4G16780	ATHB-2
M00728	Solyc10g080540.2	Homeobox-leucine zipper protein HOX27 (AHRD V3.3 *** A0A2G3BH29_CAPCH)	Homeodomain	AT4G37790	HAT22
M00729	Solyc04g015290.3	Myb family transcription factor APL (AHRD V3.3 *** A0A2G3CDT5_CAPCH)	Myb/SANT	AT4G13640	UNE16
M00729	Solyc05g007890.4	Myb family transcription factor APL (AHRD V3.3 *** A0A2G2VLB7_CAPBA)	Myb/SANT	AT1G69580	AT1G69580
M00729	Solyc06g066180.4	Myb family transcription factor APL (AHRD V3.3 *** A0A1U8GUR4_CAPAN)	Myb/SANT	AT5G45580	AT5G45580
M00729	Solyc08g076010.4	Myb family transcription factor APL (AHRD V3.3 *** A0A2G3AFT2_CAPAN)	Myb/SANT	AT5G45580	AT5G45580
M00729	Solyc09g091880.4	Myb family transcription factor APL (AHRD V3.3 *** A0A1U8G4T8_CAPAN)	Myb/SANT	AT3G24120	AT3G24120
M00729	Solyc10g083340.3	Myb family transcription factor APL (AHRD V3.3 *** A0A2G2YMX5_CAPAN)	Myb/SANT	AT5G18240	ATMYR1
M00729	Solyc10g085620.2	Myb family transcription factor APL (AHRD V3.3 *** A0A1U8E9S3_CAPAN)	Myb/SANT	AT3G04030	MYR2
M00729	Solyc11g022470.2	MYB transcription factor (AHRD V3.3 *** V5Q0T6_9CARY)	Myb/SANT	AT2G01060	AT2G01060
M00729	Solyc11g067280.2	MYB transcription factor (AHRD V3.3 *** V5Q0T6_9CARY)	Myb/SANT	AT2G01060	AT2G01060
M00729	Solyc12g017370.3	Myb family transcription factor APL (AHRD V3.3 *** A0A1U8G1X9_CAPAN)	Myb/SANT	AT1G79430	APL
M00729	Solyc12g098370.2	Myb family transcription factor APL (AHRD V3.3 *** A0A1U8F7R6_CAPAN)	Myb/SANT	AT4G13640	UNE16
M00730	Solyc02g088180.3	NAC domain-containing protein (AHRD V3.3 *** A0A2G2V9A8_CAPBA)	NAC/NAM	AT5G61430	ANAC100
M00730	Solyc03g115850.3	NAC domain-containing protein (AHRD V3.3 *** A0A2G3CZC4_CAPCH)	NAC/NAM	AT5G61430	ANAC100
M00730	Solyc06g069710.3	NAC domain-containing protein (AHRD V3.3 *** A0A2G3C9H9_CAPCH)	NAC/NAM	AT5G61430	ANAC100
M00730	Solyc07g062840.3	goblet	NAC/NAM	AT5G53950	ANAC098
M00731	Solyc01g058540.3	WRKY transcription factor 47	WRKY	AT5G49520	ATWRKY48
M00731	Solyc01g079260.4	WRKY transcription factor 23	WRKY	AT2G47260	ATWRKY23
M00731	Solyc01g079360.4	WRKY transcription factor 37	WRKY	AT2G34830	AtWRKY35
M00731	Solyc01g095100.4	WRKY transcription factor 22	WRKY	AT4G01250	AtWRKY22
